ID,Is_Lead
VBENBARO,0.058395281
CCMEWNKY,0.869559145
VK3KGA9M,0.053607131
TT8RPZVC,0.023719413
SHQZEYTZ,0.023340941
MZZAQMPT,0.099628535
Y88TW36I,0.08078464
3UGOAQNU,0.054891568
VVUKMUJT,0.993567002
9R363ZXS,0.198813084
BLISM6JE,0.054891568
CH8S7JK7,0.232047859
EAHDPXEJ,0.838657326
BNUK9PRF,0.291485589
GP2PG6FJ,0.052961662
WNQCSN8A,0.032612798
32DN4YVZ,0.427351864
GXAMDANM,0.05179321
MXETLUP4,0.060283048
MPXK6TVE,0.819901152
LBSIME2K,0.160665368
D6ORJTM6,0.051297676
HGDIBAKA,0.812038025
UUZYL9DZ,0.474047846
AUGE3VWK,0.051941605
MX7GOX6Q,0.097337944
TQN6K35W,0.054936094
QQDRMQQN,0.488724333
UP6GC6F4,0.057004996
BMHBUVHB,0.592535885
KGLDW86A,0.163422531
FQEOMOP4,0.113767
DYWM5MEU,0.172803157
DXHGXV8F,0.057068049
AVFBFQKC,0.177107603
DBIDKYMV,0.126099262
KYZHMEBY,0.222046217
SSFEBUGF,0.054560365
MGJTAG8X,0.490354982
MP6BERDO,0.156612407
GXZ8ED68,0.053057262
ICTFGWQR,0.66133505
EAYHTRKH,0.025118594
6FN97QLQ,0.10478015
3H5MZDDW,0.34308016
2DXZZWSN,0.036203092
MM4QIRE5,0.088528279
HJWVYXUA,0.175714181
RBRSJUP3,0.836111016
YFRQKGXW,0.378032546
N3SADEBV,0.043260609
G2A2YYXY,0.032876406
XMGA3WT3,0.057043759
KVZQPSGI,0.185510265
UAKARBBG,0.037532032
WYKKL85Z,0.202216718
GHNYYGRR,0.106550887
UBAJANWT,0.052322131
LSARSF7U,0.021293553
4CNSJVVR,0.244023204
JRHJSWYO,0.319611558
FHZ8SVVI,0.06204005
JUIRE47M,0.866673362
GDIVN2GL,0.060796034
WMF3DYE3,0.802222001
MAQEHEWK,0.166523821
2W8DLKFU,0.053585472
AKGRML6H,0.110675807
B7WUUGCY,0.042387377
TLJOYATM,0.422321942
UH6ZDM3W,0.900173751
7IP5SSRR,0.773780785
PV85PMEB,0.467411429
FGDOY4NI,0.145646342
7YYIXJQE,0.060616912
BHW42XPW,0.060483878
3PKEEAT4,0.257936264
ACFPZ3LM,0.053442189
6GORGNYN,0.822898266
AEPQTMJK,0.223938462
S6FNZFKK,0.052021086
JTYNEKRQ,0.681367756
GPXDPHHC,0.060084757
O8TMKNNB,0.044837393
